"id","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
1,7568.4369,10523.34257,6555.59389,6.55397
2,7840.64728,11211.76882,14343.1908,5.15647
3,8235.09601,13437.31497,12119.90078,5.02625
4,8303.70586,8035.1322,7172.81263,6.61605
5,8593.78789,11478.41174,520.64117,12.82369
6,8743.50273,7859.03609,7292.45642,6.96322
7,8974.71422,10542.02662,1168.89471,9.34429
8,9205.66833,8801.53943,2823.13295,8.78109
9,9225.22607,4155.79744,912.8556,8.09365
10,9250.93244,16189.47918,3099.39271,7.10336
11,9491.6167,14293.8454,1616.75667,10.23047
12,10101.86075,7503.7772,1658.18113,12.1982
13,10456.05883,9000.63631,824.68552,9.75037
14,10609.04198,5595.373,2725.05445,8.77373
15,10709.46416,16372.77701,671.57369,14.01945
16,10885.3506,4700.35252,1020.72821,7.97371
17,11064.95172,3256.23416,1044.56468,10.61525
18,11065.79471,15603.14902,3776.46883,7.73411
19,11165.60021,5508.8076,847.88227,8.91532
20,11160.10799,10292.74146,4534.49849,7.6078
21,11519.36194,8242.7687,1148.13468,10.20462
22,11573.9217,11751.97494,1373.80025,10.8058
23,11711.186,12603.61439,7505.43022,3.23822
24,11823.30095,4462.7467,3891.88188,5.15694
25,12037.74005,17450.88616,838.61539,10.97442
26,12566.62531,11125.07303,3568.73264,11.62742
27,12884.43616,18217.95903,1836.09489,5.53093
28,13176.6754,3461.30112,3005.70512,6.17444
29,13194.38991,8171.69001,4510.31783,9.02773
30,13987.28635,20610.99685,2747.42408,10.42515
31,14167.9757,8949.97862,24149.1068,5.07337
32,14391.31241,12378.09652,1886.0144,6.40056
33,14488.10071,16339.88536,1132.07953,10.59965
34,14580.04053,22046.38463,1851.03578,7.59618
35,14738.62854,14073.17018,1497.11444,8.43918
36,14881.61421,6803.11189,1186.43783,8.0141
37,15061.14264,12257.0707,526.23003,11.24584
38,15035.42878,22577.19613,965.79819,14.13112
39,15577.19255,17943.02318,817.48657,10.62804
40,15673.08822,13361.69642,1097.73012,12.51561
41,16012.24949,21378.94596,938.42014,10.47236
42,16965.10359,22683.24985,1795.05565,6.34991
43,17142.82976,18558.26708,3886.56315,4.24099
44,17240.17613,19531.60138,573.60058,10.48074
45,17497.65492,21078.32146,1032.87575,9.03045
46,17869.18699,19709.14864,307.67434,11.25934
47,17995.80628,11134.779,1578.6167,8.05256
48,18042.97252,26541.08941,7504.08732,8.97743
49,18167.74719,22565.08732,724.49249,9.37665
50,18189.93595,26669.95729,1512.60377,10.4849
51,18374.97001,28265.89457,1172.15527,6.42347
52,18557.57414,25110.94103,4640.56093,5.94207
53,18615.60616,19382.88512,601.1522,13.03962
54,18676.81995,15606.5995,981.23399,12.24088
55,18779.65326,21555.48612,308.35457,11.68812
56,18998.12737,24533.09093,1502.44829,7.05989
57,19605.53887,25051.25491,1743.56514,13.32065
58,19644.40384,26757.47632,1070.56305,10.73929
59,19902.28021,26313.3023,1701.59851,10.79033
60,19877.44232,22390.83691,1247.20631,9.02199
61,20012.73004,14032.65438,1920.69421,15.03141
62,20302.49402,12231.73146,1942.28456,9.39919
63,20664.41131,28109.94402,12729.85878,6.4109
64,20628.26034,13611.19282,773.77558,11.26234
65,20930.22166,15184.77802,1117.39461,9.23281
66,21115.05887,12165.10296,641.82457,11.74125
67,21524.35239,20483.61018,1036.35712,8.64234
68,21611.50631,27302.20728,3888.60251,8.38468
69,21862.75461,27917.35511,1659.05128,8.36107
70,21965.38331,16277.23414,5697.74342,6.15938
71,21907.42594,23406.8579,5444.46939,7.78496
72,21949.64955,17672.01001,5736.96586,6.24043
73,22372.17477,21466.07624,1714.23432,5.00253
74,22501.47452,11907.08219,3152.75403,8.47427
75,22470.64532,14390.32983,678.70153,9.62477
76,23026.89944,14559.5792,1465.49311,11.49868
77,23327.35603,15481.27067,1862.95004,8.54614
78,23846.35149,26615.83513,3057.78927,12.03979
79,23792.97573,27820.83726,8298.56953,2.66038
80,23947.36503,21748.67595,759.12206,8.29121
81,23873.89441,26637.34331,11267.77406,7.56612
82,24000.42655,24187.27787,8629.42927,5.24353
83,24153.38941,13267.80868,559.82436,14.24473
84,24641.96447,27708.3864,1184.49304,11.9889
85,24760.51025,11124.72205,2090.51755,8.68702
86,24874.96227,17518.78513,7178.15867,6.7549
87,25086.17881,14803.82637,1341.20213,8.90802
88,25251.1397,29288.99963,1112.44116,8.99441
89,25571.30202,26882.37333,2963.05967,9.04524
90,25688.14462,29774.40855,2996.17997,10.23499
91,25691.48281,27888.13048,3259.8341,8.08677
92,26686.9421,22307.47555,668.63278,13.11846
93,26854.40834,28841.26339,23013.41509,6.13815
94,27949.70314,16293.47592,2343.37625,5.1313
95,28017.89986,17706.49372,4565.2008,7.20005
96,28125.28719,27722.32174,808.74723,11.97395
97,28370.72382,22709.95929,2562.78037,4.70764
98,28580.58883,26627.93751,1299.87034,9.0794
99,28882.85072,29436.54888,10862.8624,6.84549
100,29112.59358,15006.35728,508.0498,10.56044
101,29280.8625,16898.01699,1205.52374,5.84706
102,29345.1643,28559.43749,4558.68265,7.64416
103,29572.91338,24751.71266,1734.20068,8.08117
104,29615.9799,25737.26452,3772.62362,9.42094
105,30233.03741,14900.9986,1533.79964,7.03629
106,30273.0592,28328.09836,875.88616,8.73159
107,30398.53336,26403.23682,1294.60702,9.24472
108,31200.23898,23589.58682,3723.89636,5.97354
109,32571.95059,20707.22008,2142.77018,12.73713
110,33090.02479,19416.92322,736.67448,9.44171
111,33251.5319,20658.50128,2300.42111,9.57043
