var1,var2,n,spearman_r,p_value
Nucleus_area,Nucleus_MFI,21,-0.36233766233766235,0.10649069901450199
Nucleus_area,Foci_number,21,0.7727272727272727,4.027735878701309e-05
Nucleus_area,Foci_MFI,21,-0.5337662337662338,0.012697637214593745
Nucleus_area,Foci_sigma,21,-0.6805194805194805,0.0006861487068079914
Nucleus_MFI,Foci_number,21,-0.16233766233766234,0.4820201872355597
Nucleus_MFI,Foci_MFI,21,0.6545454545454545,0.0012842386609677348
Nucleus_MFI,Foci_sigma,21,0.8441558441558441,1.5068106991418413e-06
Foci_number,Foci_MFI,21,-0.6038961038961038,0.0037439776277835356
Foci_number,Foci_sigma,21,-0.45714285714285713,0.0372083724068703
Foci_MFI,Foci_sigma,21,0.7831168831168831,2.698491900595073e-05
